ncbiID	fullName	rank	parentID
999999500	Candidatus Heimdallarchaeota archaeon GCA_002728275.1	strain	2026747
999999501	Candidatus Heimdallarchaeota archaeon GCA_003662875.1	strain	2026747
999999502	Candidatus Heimdallarchaeota archaeon GCA_003662885.1	strain	2026747
999999503	Candidatus Heimdallarchaeota archaeon GCA_003662935.1	strain	2026747
999999504	Candidatus Heimdallarchaeota archaeon GCA_004376455.1	strain	2026747
999999505	Candidatus Heimdallarchaeota archaeon GCA_004376735.1	strain	2026747
999999506	Candidatus Heimdallarchaeota archaeon GCA_011364945.1	strain	2026747
999999507	Candidatus Heimdallarchaeota archaeon GCA_011364965.1	strain	2026747
999999508	Candidatus Lokiarchaeota archaeon GCA_003662865.1	strain	2053489
999999509	Candidatus Lokiarchaeota archaeon GCA_004375715.1	strain	2053489
999999510	Candidatus Lokiarchaeota archaeon GCA_004376705.1	strain	2053489
999999511	Candidatus Lokiarchaeota archaeon GCA_004524365.1	strain	2053489
999999512	Candidatus Lokiarchaeota archaeon GCA_004524385.1	strain	2053489
999999513	Candidatus Lokiarchaeota archaeon GCA_004524425.1	strain	2053489
999999514	Candidatus Lokiarchaeota archaeon GCA_004524515.1	strain	2053489
999999515	Candidatus Lokiarchaeota archaeon GCA_004524535.1	strain	2053489
999999516	Candidatus Lokiarchaeota archaeon GCA_004524545.1	strain	2053489
999999517	Candidatus Lokiarchaeota archaeon GCA_004524725.1	strain	2053489
999999518	Candidatus Lokiarchaeota archaeon GCA_008080735.1	strain	2053489
999999519	Candidatus Lokiarchaeota archaeon GCA_008080755.1	strain	2053489
999999520	Candidatus Lokiarchaeota archaeon GCA_008080765.1	strain	2053489
999999521	Candidatus Lokiarchaeota archaeon GCA_011364925.1	strain	2053489
999999522	Candidatus Lokiarchaeota archaeon GCA_011364975.1	strain	2053489
999999523	Candidatus Lokiarchaeota archaeon GCA_011365055.1	strain	2053489
999999524	Candidatus Lokiarchaeota archaeon GCA_012798355.1	strain	2053489
999999525	Candidatus Lokiarchaeota archaeon GCA_013375485.1	strain	2053489
999999526	Candidatus Thorarchaeota archaeon GCA_003345545.1	strain	2053491
999999527	Candidatus Thorarchaeota archaeon GCA_003345555.1	strain	2053491
999999528	Candidatus Thorarchaeota archaeon GCA_003345595.1	strain	2053491
999999529	Candidatus Thorarchaeota archaeon GCA_003662765.1	strain	2053491
999999530	Candidatus Thorarchaeota archaeon GCA_003662775.1	strain	2053491
999999531	Candidatus Thorarchaeota archaeon GCA_003662805.1	strain	2053491
999999532	Candidatus Thorarchaeota archaeon GCA_003662815.1	strain	2053491
999999533	Candidatus Thorarchaeota archaeon GCA_004376265.1	strain	2053491
999999534	Candidatus Thorarchaeota archaeon GCA_004376425.1	strain	2053491
999999535	Candidatus Thorarchaeota archaeon GCA_004524435.1	strain	2053491
999999536	Candidatus Thorarchaeota archaeon GCA_004524445.1	strain	2053491
999999537	Candidatus Thorarchaeota archaeon GCA_004524565.1	strain	2053491
999999538	Candidatus Thorarchaeota archaeon GCA_004524595.1	strain	2053491
999999539	Candidatus Thorarchaeota archaeon GCA_004525575.1	strain	2053491
999999540	Candidatus Thorarchaeota archaeon GCA_004525645.1	strain	2053491
999999541	Candidatus Thorarchaeota archaeon GCA_008080745.1	strain	2053491
999999542	Candidatus Thorarchaeota archaeon GCA_011364905.1	strain	2053491
999999543	Candidatus Thorarchaeota archaeon GCA_011364985.1	strain	2053491
999999544	Candidatus Thorarchaeota archaeon GCA_011365025.1	strain	2053491
999999545	Candidatus Thorarchaeota archaeon GCA_013138615.1	strain	2053491
999999546	Asgard group archaeon GCA_011366225.1	strain	2591838
999999547	Asgard group archaeon GCA_011366245.1	strain	2591838
999999548	Asgard group archaeon GCA_011366285.1	strain	2591838
999999549	Asgard group archaeon GCA_011366295.1	strain	2591838
999999550	Asgard group archaeon GCA_013166775.1	strain	2591838
999999551	Asgard group archaeon GCA_013166835.1	strain	2591838
