ncbiID	fullName	rank	parentID
100226	Streptomyces coelicolor A3(2)	norank	1902
1902	Streptomyces coelicolor	species	1477431
1477431	Streptomyces albidoflavus group	speciesgroup	1883
1883	Streptomyces	genus	2062
2062	Streptomycetaceae	family	85011
85011	Streptomycetales	order	1760
1760	Actinobacteria	class	201174
201174	Actinobacteria	phylum	1783272
1783272	Terrabacteria group	norank	2
2	Bacteria	superkingdom	131567
131567	cellular organisms	norank	1
10090	Mus musculus	species	862507
862507	Mus	subgenus	10088
10088	Mus	genus	39107
39107	Murinae	subfamily	10066
10066	Muridae	family	337687
337687	Muroidea	norank	1963758
1963758	Myomorpha	suborder	9989
9989	Rodentia	order	314147
314147	Glires	norank	314146
314146	Euarchontoglires	superorder	1437010
1437010	Boreoeutheria	norank	9347
9347	Eutheria	norank	32525
32525	Theria	norank	40674
40674	Mammalia	class	32524
32524	Amniota	norank	32523
32523	Tetrapoda	norank	1338369
1338369	Dipnotetrapodomorpha	norank	8287
8287	Sarcopterygii	superclass	117571
117571	Euteleostomi	norank	117570
117570	Teleostomi	norank	7776
7776	Gnathostomata	norank	7742
7742	Vertebrata	norank	89593
89593	Craniata	subphylum	7711
7711	Chordata	phylum	33511
33511	Deuterostomia	norank	33213
33213	Bilateria	norank	6072
6072	Eumetazoa	norank	33208
33208	Metazoa	kingdom	33154
33154	Opisthokonta	norank	2759
2759	Eukaryota	superkingdom	131567
10116	Rattus norvegicus	species	10114
10114	Rattus	genus	39107
1111708	Synechocystis sp. PCC 6803 substr. Kazusa	norank	1148
1148	Synechocystis sp. PCC 6803	species	1142
1142	Synechocystis	genus	1890428
1890428	Merismopediaceae	family	1890424
1890424	Synechococcales	order	1117
1117	Cyanobacteria	phylum	1798711
1798711	Cyanobacteria/Melainabacteria group	norank	1783272
122586	Neisseria meningitidis MC58	norank	491
491	Neisseria meningitidis serogroup B	norank	487
487	Neisseria meningitidis	species	482
482	Neisseria	genus	481
481	Neisseriaceae	family	206351
206351	Neisseriales	order	28216
28216	Betaproteobacteria	class	1224
1224	Proteobacteria	phylum	2
123851	Ladona fulva	species	70376
70376	Ladona	genus	6964
6964	Libellulidae	family	70899
70899	Cavilabiata	superfamily	6962
6962	Anisoptera	infraorder	2510002
2510002	Epiprocta	suborder	6961
6961	Odonata	order	33339
33339	Palaeoptera	infraclass	7496
7496	Pterygota	subclass	85512
85512	Dicondylia	norank	50557
50557	Insecta	class	6960
6960	Hexapoda	subphylum	197562
197562	Pancrustacea	norank	197563
197563	Mandibulata	norank	6656
